STATE,USPS Code,LEGAL,DCRIM,MED,year,legal_year
9,CT,0,0,0,2009,NA
10,DE,0,0,0,2009,NA
11,DC,0,0,0,2009,NA
12,FL,0,0,0,2009,NA
13,GA,0,0,0,2009,NA
15,HI,0,0,1,2009,NA
16,ID,0,0,0,2009,NA
17,IL,0,0,0,2009,2019
18,IN,0,0,0,2009,NA
19,IA,0,0,0,2009,NA
20,KS,0,0,0,2009,NA
21,KY,0,0,0,2009,NA
22,LA,0,0,0,2009,NA
23,ME,0,0,1,2009,2016
24,MD,0,0,0,2009,NA
25,MA,0,1,0,2009,2016
26,MI,0,0,1,2009,2018
27,MN,0,1,0,2009,NA
28,MS,0,1,0,2009,NA
29,MO,0,0,0,2009,NA
30,MT,0,0,1,2009,NA
31,NE,0,1,0,2009,NA
32,NV,0,0,1,2009,2016
33,NH,0,0,0,2009,NA
34,NJ,0,0,0,2009,NA
35,NM,0,0,1,2009,NA
36,NY,0,1,0,2009,NA
37,NC,0,1,0,2009,NA
38,ND,0,0,0,2009,NA
39,OH,0,1,0,2009,NA
40,OK,0,0,0,2009,NA
41,OR,0,0,1,2009,2014
42,PA,0,0,0,2009,NA
43,PR,0,0,0,2009,NA
44,RI,0,0,1,2009,NA
45,SC,0,0,0,2009,NA
46,SD,0,0,0,2009,NA
47,TN,0,0,0,2009,NA
48,TX,0,0,0,2009,NA
49,UT,0,0,0,2009,NA
50,VT,0,0,1,2009,2018
51,VA,0,0,0,2009,NA
53,WA,0,0,1,2009,2012
54,WV,0,0,0,2009,NA
55,WI,0,0,0,2009,NA
56,WY,0,0,0,2009,NA
1,AL,0,0,0,2010,NA
2,AK,0,0,1,2010,2014
4,AZ,0,0,1,2010,NA
5,AR,0,0,0,2010,NA
6,CA,0,1,1,2010,2016
8,CO,0,1,0,2010,2012
9,CT,0,0,0,2010,NA
10,DE,0,0,0,2010,NA
11,DC,0,0,0,2010,NA
12,FL,0,0,0,2010,NA
13,GA,0,0,0,2010,NA
15,HI,0,0,1,2010,NA
16,ID,0,0,0,2010,NA
17,IL,0,0,0,2010,2019
18,IN,0,0,0,2010,NA
19,IA,0,0,0,2010,NA
20,KS,0,0,0,2010,NA
21,KY,0,0,0,2010,NA
22,LA,0,0,0,2010,NA
23,ME,0,0,1,2010,2016
24,MD,0,0,0,2010,NA
25,MA,0,1,0,2010,2016
26,MI,0,0,1,2010,2018
27,MN,0,1,0,2010,NA
28,MS,0,1,0,2010,NA
29,MO,0,0,0,2010,NA
30,MT,0,0,1,2010,NA
31,NE,0,1,0,2010,NA
32,NV,0,0,1,2010,2016
33,NH,0,0,0,2010,NA
34,NJ,0,0,1,2010,NA
35,NM,0,0,1,2010,NA
36,NY,0,1,0,2010,NA
37,NC,0,1,0,2010,NA
38,ND,0,0,0,2010,NA
39,OH,0,1,0,2010,NA
40,OK,0,0,0,2010,NA
41,OR,0,0,1,2010,2014
42,PA,0,0,0,2010,NA
43,PR,0,0,0,2010,NA
44,RI,0,0,1,2010,NA
45,SC,0,0,0,2010,NA
46,SD,0,0,0,2010,NA
47,TN,0,0,0,2010,NA
48,TX,0,0,0,2010,NA
49,UT,0,0,0,2010,NA
50,VT,0,0,1,2010,2018
51,VA,0,0,0,2010,NA
53,WA,0,0,1,2010,2012
54,WV,0,0,0,2010,NA
55,WI,0,0,0,2010,NA
56,WY,0,0,0,2010,NA
1,AL,0,0,0,2011,NA
2,AK,0,0,1,2011,2014
4,AZ,0,0,1,2011,NA
5,AR,0,0,0,2011,NA
6,CA,0,1,1,2011,2016
8,CO,0,1,0,2011,2012
9,CT,0,1,0,2011,NA
10,DE,0,0,1,2011,NA
11,DC,0,0,0,2011,NA
12,FL,0,0,0,2011,NA
13,GA,0,0,0,2011,NA
15,HI,0,0,1,2011,NA
16,ID,0,0,0,2011,NA
17,IL,0,0,0,2011,2019
18,IN,0,0,0,2011,NA
19,IA,0,0,0,2011,NA
20,KS,0,0,0,2011,NA
21,KY,0,0,0,2011,NA
22,LA,0,0,0,2011,NA
23,ME,0,0,1,2011,2016
24,MD,0,0,0,2011,NA
25,MA,0,1,0,2011,2016
26,MI,0,0,1,2011,2018
27,MN,0,1,0,2011,NA
28,MS,0,1,0,2011,NA
29,MO,0,0,0,2011,NA
30,MT,0,0,1,2011,NA
31,NE,0,1,0,2011,NA
32,NV,0,0,1,2011,2016
33,NH,0,0,0,2011,NA
34,NJ,0,0,1,2011,NA
35,NM,0,0,1,2011,NA
36,NY,0,1,0,2011,NA
37,NC,0,1,0,2011,NA
38,ND,0,0,0,2011,NA
39,OH,0,1,0,2011,NA
40,OK,0,0,0,2011,NA
41,OR,0,0,1,2011,2014
42,PA,0,0,0,2011,NA
43,PR,0,0,0,2011,NA
44,RI,0,0,1,2011,NA
45,SC,0,0,0,2011,NA
46,SD,0,0,0,2011,NA
